problem,age,gender,location,pain,time,vomit,fever,risks,swelling,er,urgent,primary,nothing,recommendation
knee,18-45,male,anterior,1-3,1_3,vom,fever,risks,swelling,3,3,5,7,primary
knee,18-45,male,anterior,1-3,1_3,vom,fever,risks,Noswelling,2,2,5,6,primary
knee,18-45,male,anterior,1-3,1_3,vom,fever,Norisks,swelling,2,2,3,4,primary
knee,18-45,male,anterior,1-3,1_3,vom,fever,Norisks,Noswelling,1,1,2,3,primary
knee,18-45,male,anterior,1-3,1_3,vom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,1-3,1_3,vom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,1_3,vom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,1-3,1_3,vom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,1_3,Novom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,1-3,1_3,Novom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,1_3,Novom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,1-3,1_3,Novom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,1_3,Novom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,1-3,1_3,Novom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,1_3,Novom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,1-3,1_3,Novom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,4_7,vom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,1-3,4_7,vom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,4_7,vom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,1-3,4_7,vom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,4_7,vom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,1-3,4_7,vom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,4_7,vom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,1-3,4_7,vom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,4_7,Novom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,1-3,4_7,Novom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,4_7,Novom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,1-3,4_7,Novom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,4_7,Novom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,1-3,4_7,Novom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,4_7,Novom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,1-3,4_7,Novom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,week,vom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,1-3,week,vom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,week,vom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,1-3,week,vom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,week,vom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,1-3,week,vom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,week,vom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,1-3,week,vom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,week,Novom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,1-3,week,Novom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,week,Novom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,1-3,week,Novom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,week,Novom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,1-3,week,Novom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,1-3,week,Novom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,1-3,week,Novom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,1_3,vom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,3-6,1_3,vom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,1_3,vom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,3-6,1_3,vom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,1_3,vom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,3-6,1_3,vom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,1_3,vom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,3-6,1_3,vom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,1_3,Novom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,3-6,1_3,Novom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,1_3,Novom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,3-6,1_3,Novom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,1_3,Novom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,3-6,1_3,Novom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,1_3,Novom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,3-6,1_3,Novom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,4_7,vom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,3-6,4_7,vom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,4_7,vom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,3-6,4_7,vom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,4_7,vom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,3-6,4_7,vom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,4_7,vom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,3-6,4_7,vom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,4_7,Novom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,3-6,4_7,Novom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,4_7,Novom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,3-6,4_7,Novom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,4_7,Novom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,3-6,4_7,Novom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,4_7,Novom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,3-6,4_7,Novom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,week,vom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,3-6,week,vom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,week,vom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,3-6,week,vom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,week,vom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,3-6,week,vom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,week,vom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,3-6,week,vom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,week,Novom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,3-6,week,Novom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,week,Novom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,3-6,week,Novom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,week,Novom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,3-6,week,Novom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,3-6,week,Novom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,3-6,week,Novom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,1_3,vom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,6-8,1_3,vom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,1_3,vom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,6-8,1_3,vom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,1_3,vom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,6-8,1_3,vom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,1_3,vom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,6-8,1_3,vom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,1_3,Novom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,6-8,1_3,Novom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,1_3,Novom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,6-8,1_3,Novom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,1_3,Novom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,6-8,1_3,Novom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,1_3,Novom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,6-8,1_3,Novom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,4_7,vom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,6-8,4_7,vom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,4_7,vom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,6-8,4_7,vom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,4_7,vom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,6-8,4_7,vom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,4_7,vom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,6-8,4_7,vom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,4_7,Novom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,6-8,4_7,Novom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,4_7,Novom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,6-8,4_7,Novom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,4_7,Novom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,6-8,4_7,Novom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,4_7,Novom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,6-8,4_7,Novom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,week,vom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,6-8,week,vom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,week,vom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,6-8,week,vom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,week,vom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,6-8,week,vom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,week,vom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,6-8,week,vom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,week,Novom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,6-8,week,Novom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,week,Novom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,6-8,week,Novom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,week,Novom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,6-8,week,Novom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,6-8,week,Novom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,6-8,week,Novom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,9-10,1_3,vom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,9-10,1_3,vom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,9-10,1_3,vom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,9-10,1_3,vom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,9-10,1_3,vom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,9-10,1_3,vom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,9-10,1_3,vom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,9-10,1_3,vom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,9-10,1_3,Novom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,9-10,1_3,Novom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,9-10,1_3,Novom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,9-10,1_3,Novom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,9-10,1_3,Novom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,9-10,1_3,Novom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,9-10,1_3,Novom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,9-10,1_3,Novom,Nofever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,9-10,4_7,vom,fever,risks,swelling,,,,,
knee,18-45,male,anterior,9-10,4_7,vom,fever,risks,Noswelling,,,,,
knee,18-45,male,anterior,9-10,4_7,vom,fever,Norisks,swelling,,,,,
knee,18-45,male,anterior,9-10,4_7,vom,fever,Norisks,Noswelling,,,,,
knee,18-45,male,anterior,9-10,4_7,vom,Nofever,risks,swelling,,,,,
knee,18-45,male,anterior,9-10,4_7,vom,Nofever,risks,Noswelling,,,,,
knee,18-45,male,anterior,9-10,4_7,vom,Nofever,Norisks,swelling,,,,,
knee,18-45,male,anterior,9-10,4_7,vom,Nofever,Norisks,Noswelling,,,,,
